,Year,Country,Latitude,Longitude,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Damage_Rating
324,2009,Venezuela,36.31389,-322.81499899999994,14,6,7,11,12
325,2010,Afghanistan,34.546389000000005,69.49,8,0,0,0,3
326,2010,American Samoa,-14.331389000000001,-170.711389,0,1,2,181,0
327,2010,Argentina,-69.023611,-117.952778,2,0,0,4,5
328,2010,Australia,-213.86666599999998,925.2499999999999,8,0,0,0,13
329,2010,Austria,48.131667,-13.443332999999999,2,0,0,0,2
330,2010,Bahamas,127.145832,-392.829167,16,2,0,6,12
331,2010,Belize,17.9,-87.966667,5,0,0,0,2
332,2010,Brazil,-250.532499,-665.6536110000001,20,1,2,38,28
333,2010,Canada,139.59611,-205.36888900000002,10,0,0,6,5
334,2010,Chile,-58.316666,-140.95,1,0,1,1,5
335,2010,Colombia,9.312499,-148.743333,9,0,0,0,6
336,2010,Congo,-2.5461110000000002,29.349166,11,0,0,4,5
337,2010,Denmark,62.075278000000004,-48.291944,0,2,0,209,0
338,2010,Dominican Republic,19.303055999999998,-71.660556,2,0,0,0,3
339,2010,Ecuador,-6.405834,-232.025278,0,4,0,1,5
340,2010,Egypt,30.288611,31.405556,0,0,0,0,1
341,2010,France,43.516667,5.566667,2,0,0,0,2
342,2010,Germany,50.0225,8.539166,0,0,0,0,1
343,2010,Guinea,9.576667,-13.611944,0,0,6,90,2
344,2010,Honduras,14.067223,-87.26,3,0,0,0,3
345,2010,Indonesia,-6.900556,107.5775,1,0,0,0,2
346,2010,Italy,130.26583300000001,36.271665999999996,4,0,0,1,8
347,2010,Kenya,-5.095556,76.754167,1,0,0,0,3
348,2010,Lebanon,39.821111,35.488333000000004,90,0,0,0,3
349,2010,Mexico,51.185,-204.72500000000002,13,0,0,0,5
350,2010,Mozambique,-25.55,32.583333,0,0,0,0,3
351,2010,Namibia,-22.416667,14.433333,1,0,0,0,3
352,2010,Nigeria,5.597222,5.819445,0,0,0,0,1
353,2010,Norway,59.077778,6.974723,0,0,0,4,2
354,2010,Palau,7.367222999999999,134.544444,0,0,0,4,2
355,2010,Papua New Guinea,-10.689722,152.831945,4,0,1,0,2
356,2010,Peru,-29.609444,-302.47916599999996,13,0,0,28,9
357,2010,Philippines,13.933333,121.604722,4,0,0,0,3
358,2010,Portugal,38.785555,-8.204167,2,0,0,0,3
359,2010,South Africa,-25.938333,27.926111,0,0,0,16,2
360,2010,Sweden,58.405,15.696666,1,0,0,0,2
361,2010,Switzerland,46.548611,9.888889,2,0,0,0,3
362,2010,United Kingdom,261.049168,-44.254165,7,4,0,4,12
363,2010,United States,58866.52944599994,-150348.6933380002,445,266,415,4846,2952
364,2010,Unknown,42.168334,16.136666,2,0,0,0,2
365,2010,Venezuela,18.758611000000002,-129.87194399999998,6,0,0,0,5
366,2011,Angola,-12.805,15.765,0,0,0,10,2
367,2011,Antarctica,-77.0,166.0,0,0,0,0,2
368,2011,Argentina,-69.298888,-118.90111200000001,4,0,0,4,3
369,2011,Australia,-259.66666699999996,1396.35,16,5,0,0,20
370,2011,Austria,142.249722,37.564444,9,1,0,0,6
371,2011,Botswana,-19.190277,23.445,9,2,2,0,2
372,2011,Brazil,-294.697777,-1085.170277,55,1,2,0,48
373,2011,Canada,414.873056,-629.385278,7,8,10,139,13
374,2011,Cayman Islands,19.748333,-79.751667,2,0,0,0,2
375,2011,Chile,-1.427500000000002,-143.814167,3,1,0,0,5
376,2011,Colombia,42.74,-590.440831,11,1,0,20,17
377,2011,Ecuador,-1.7,-77.93305600000001,0,2,2,0,2
378,2011,France,87.346112,11.392222,2,0,4,0,4
379,2011,Germany,149.15638900000002,37.353334000000004,1,0,0,131,6
380,2011,Guatemala,14.385276999999999,-91.77166700000001,1,0,0,0,2
381,2011,Haiti,19.699722,-72.226111,3,0,0,0,2
382,2011,India,58.673889,155.360278,12,2,0,0,4
383,2011,Indonesia,-5.3666670000000005,356.746945,5,0,0,0,6
384,2011,Iraq,35.533334,42.45,7,0,0,0,3
385,2011,Italy,258.36,76.06527500000001,8,0,0,2,12
386,2011,Jamaica,36.352222,-153.904167,0,0,2,3,4
387,2011,Japan,55.209444,261.639722,0,1,0,39,2
388,2011,Kenya,-0.8461110000000001,39.9275,0,0,0,0,0
389,2011,Malaysia,3.1316669999999998,101.548333,0,0,0,3,0
390,2011,Nigeria,22.028056,19.862499,2,0,0,0,4
391,2011,Pakistan,25.066667000000002,67.266667,0,0,0,3,2
392,2011,Papua New Guinea,-5.844722,142.9475,0,0,0,2,2
393,2011,Peru,-31.791944,-221.08777800000001,4,0,0,5,4
394,2011,Poland,103.00027800000001,-0.7236119999999993,5,0,0,0,4
395,2011,Russia,104.14166599999999,135.786111,1,0,1,0,4
396,2011,South Africa,-60.229721,51.573888999999994,9,0,0,0,4
397,2011,Spain,130.16889,-15.078332,10,0,0,0,6
398,2011,Sweden,59.1,15.083332999999998,0,0,0,6,2
399,2011,Switzerland,186.30500000000004,28.33361,8,0,0,5,11
400,2011,United Kingdom,152.819443,-3.308333,2,1,0,4,7
401,2011,United States,62015.708055999974,-156112.62666799987,476,363,411,9566,3059
402,2011,Unknown,14.345,-62.588611,0,2,0,0,2
403,2011,Vanuatu,-15.0,166.666667,1,0,2,0,2
404,2011,Venezuela,53.750833,-413.33277799999996,14,2,5,7,15
405,2012,Afghanistan,66.35027799999999,133.41166700000002,3,0,0,7,5
406,2012,Argentina,-98.82333299999999,-177.04222299999998,3,0,0,2,6
